epoch	batch	iter	loss	prec1	prec5	lr
1	1	1	2.058387279510498	18.75	68.75	0.04
1	2	2	2.3354454040527344	0.0	31.25	0.04
1	3	3	2.0177435874938965	25.0	62.5	0.04
1	4	4	2.5673773288726807	0.0	50.0	0.04
1	5	5	3.0475616455078125	0.0	62.5	0.04
1	6	6	1.7204577922821045	50.0	100.0	0.04
1	7	7	2.5986216068267822	0.0	75.0	0.04
1	8	8	2.4996886253356934	25.0	100.0	0.04
1	9	9	2.5249478816986084	50.0	50.0	0.04
1	10	10	3.2548470497131348	18.75	50.0	0.04
1	11	11	3.251339912414551	0.0	75.0	0.04
1	12	12	1.9706692695617676	18.75	75.0	0.04
1	13	13	3.173487663269043	18.75	50.0	0.04
1	14	14	1.8007606267929077	50.0	75.0	0.04
1	15	15	3.706984043121338	0.0	25.0	0.04
1	16	16	2.9228785037994385	12.5	50.0	0.04
1	17	17	2.37165904045105	12.5	75.0	0.04
1	18	18	3.292205572128296	0.0	25.0	0.04
1	19	19	2.855971336364746	0.0	37.5	0.04
1	20	20	1.7718877792358398	31.25	93.75	0.04
1	21	21	1.9590984582901	25.0	81.25	0.04
1	22	22	2.288701057434082	0.0	68.75	0.04
1	23	23	2.0403354167938232	25.0	75.0	0.04
1	24	24	1.6376160383224487	62.5	75.0	0.04
1	25	25	2.0949790477752686	12.5	81.25	0.04
1	26	26	2.4033706188201904	0.0	62.5	0.04
1	27	27	2.8626508712768555	0.0	25.0	0.04
1	28	28	1.9472757577896118	25.0	75.0	0.04
1	29	29	2.725579261779785	0.0	37.5	0.04
1	30	30	2.061694622039795	25.0	87.5	0.04
1	31	31	1.869899034500122	25.0	100.0	0.04
1	32	32	1.882718801498413	25.0	87.5	0.04
1	33	33	1.868819236755371	6.25	100.0	0.04
1	34	34	2.010685443878174	25.0	75.0	0.04
1	35	35	2.0669476985931396	12.5	75.0	0.04
1	36	36	1.7164735794067383	25.0	100.0	0.04
1	37	37	2.20756459236145	12.5	75.0	0.04
1	38	38	1.8364527225494385	37.5	87.5	0.04
1	39	39	2.3431596755981445	6.25	50.0	0.04
1	40	40	2.1416752338409424	6.25	75.0	0.04
1	41	41	2.423336982727051	0.0	50.0	0.04
1	42	42	1.884217619895935	37.5	75.0	0.04
1	43	43	1.8796381950378418	25.0	93.75	0.04
1	44	44	2.3499817848205566	0.0	50.0	0.04
1	45	45	2.161816358566284	12.5	75.0	0.04
1	46	46	1.8230876922607422	25.0	93.75	0.04
1	47	47	2.0971486568450928	0.0	75.0	0.04
1	48	48	1.7968084812164307	37.5	100.0	0.04
1	49	49	2.021270990371704	12.5	81.25	0.04
1	50	50	2.191399574279785	12.5	50.0	0.04
1	51	51	2.334956407546997	37.5	37.5	0.04
1	52	52	2.267040729522705	0.0	62.5	0.04
1	53	53	2.05077862739563	0.0	68.75	0.04
1	54	54	2.191598892211914	18.75	62.5	0.04
1	55	55	1.8486288785934448	18.75	100.0	0.04
1	56	56	2.206087827682495	18.75	75.0	0.04
1	57	57	1.8134779930114746	37.5	75.0	0.04
1	58	58	2.2370026111602783	6.25	31.25	0.04
1	59	59	1.9535192251205444	50.0	68.75	0.04
1	60	60	2.0919647216796875	12.5	75.0	0.04
1	61	61	2.043414831161499	25.0	62.5	0.04
1	62	62	2.043015956878662	0.0	62.5	0.04
1	63	63	1.9026793241500854	25.0	75.0	0.04
1	64	64	1.8040125370025635	25.0	75.0	0.04
1	65	65	1.8191910982131958	31.25	87.5	0.04
1	66	66	1.724797010421753	43.75	87.5	0.04
1	67	67	2.0722732543945312	0.0	62.5	0.04
1	68	68	2.1090686321258545	0.0	62.5	0.04
1	69	69	1.9121419191360474	25.0	87.5	0.04
1	70	70	1.8737902641296387	25.0	87.5	0.04
1	71	71	2.137213706970215	12.5	93.75	0.04
1	72	72	1.861152172088623	25.0	75.0	0.04
1	73	73	2.6857666969299316	0.0	37.5	0.04
1	74	74	2.3375377655029297	12.5	75.0	0.04
1	75	75	2.415281295776367	0.0	62.5	0.04
1	76	76	2.342693328857422	0.0	87.5	0.04
1	77	77	2.026829481124878	37.5	50.0	0.04
1	78	78	1.8772187232971191	37.5	75.0	0.04
1	79	79	1.6955183744430542	50.0	75.0	0.04
1	80	80	2.1185524463653564	12.5	68.75	0.04
1	81	81	2.322201728820801	0.0	62.5	0.04
1	82	82	2.234947681427002	12.5	75.0	0.04
1	83	83	2.025998830795288	25.0	37.5	0.04
1	84	84	1.917934775352478	25.0	87.5	0.04
1	85	85	1.8427255153656006	25.0	87.5	0.04
1	86	86	2.031625986099243	0.0	87.5	0.04
1	87	87	1.8180618286132812	12.5	100.0	0.04
1	88	88	2.041343927383423	12.5	68.75	0.04
1	89	89	1.8832850456237793	25.0	100.0	0.04
1	90	90	1.8252836465835571	37.5	87.5	0.04
1	91	91	2.162889242172241	0.0	62.5	0.04
1	92	92	2.203892230987549	12.5	50.0	0.04
1	93	93	1.9044321775436401	18.75	75.0	0.04
1	94	94	1.7576287984848022	56.25	87.5	0.04
1	95	95	1.8436387777328491	37.5	62.5	0.04
1	96	96	1.8616909980773926	12.5	87.5	0.04
1	97	97	1.792691707611084	25.0	87.5	0.04
1	98	98	2.023418426513672	37.5	62.5	0.04
1	99	99	1.6618149280548096	25.0	87.5	0.04
1	100	100	2.0301032066345215	12.5	81.25	0.04
1	101	101	1.8599494695663452	12.5	93.75	0.04
1	102	102	2.2626943588256836	18.75	56.25	0.04
1	103	103	2.023653745651245	50.0	87.5	0.04
1	104	104	1.9940602779388428	25.0	100.0	0.04
1	105	105	1.930112600326538	0.0	62.5	0.04
1	106	106	2.4839537143707275	0.0	50.0	0.04
1	107	107	1.9480845928192139	0.0	100.0	0.04
1	108	108	1.8100117444992065	31.25	87.5	0.04
1	109	109	1.981232762336731	31.25	62.5	0.04
1	110	110	2.159562587738037	12.5	75.0	0.04
1	111	111	1.883486032485962	31.25	87.5	0.04
1	112	112	1.9488800764083862	0.0	100.0	0.04
1	113	113	1.9375807046890259	12.5	75.0	0.04
1	114	114	1.7873156070709229	25.0	100.0	0.04
1	115	115	1.8926317691802979	12.5	87.5	0.04
1	116	116	2.2228946685791016	0.0	75.0	0.04
1	117	117	1.8010445833206177	25.0	87.5	0.04
1	118	118	2.1338396072387695	0.0	62.5	0.04
1	119	119	1.7366210222244263	37.5	87.5	0.04
1	120	120	2.0256364345550537	0.0	87.5	0.04
1	121	121	1.9549609422683716	25.0	75.0	0.04
1	122	122	2.3514695167541504	12.5	25.0	0.04
1	123	123	2.0718305110931396	25.0	62.5	0.04
1	124	124	2.086235284805298	0.0	43.75	0.04
1	125	125	1.9593372344970703	12.5	75.0	0.04
1	126	126	2.137566328048706	0.0	87.5	0.04
1	127	127	2.0453808307647705	6.25	68.75	0.04
1	128	128	1.7425512075424194	50.0	100.0	0.04
1	129	129	2.0935914516448975	25.0	56.25	0.04
1	130	130	1.8016778230667114	12.5	87.5	0.04
1	131	131	2.080051898956299	12.5	50.0	0.04
1	132	132	2.0392444133758545	12.5	81.25	0.04
1	133	133	1.7336899042129517	37.5	87.5	0.04
1	134	134	2.247222900390625	0.0	62.5	0.04
1	135	135	2.3104541301727295	0.0	75.0	0.04
1	136	136	1.978350043296814	12.5	100.0	0.04
1	137	137	1.637431025505066	50.0	75.0	0.04
1	138	138	1.90462064743042	18.75	75.0	0.04
1	139	139	1.615929365158081	62.5	87.5	0.04
1	140	140	1.9342814683914185	25.0	75.0	0.04
1	141	141	1.7176209688186646	50.0	87.5	0.04
1	142	142	2.2565853595733643	0.0	56.25	0.04
1	143	143	1.9640803337097168	25.0	75.0	0.04
1	144	144	2.1748180389404297	0.0	75.0	0.04
1	145	145	1.8809309005737305	25.0	100.0	0.04
1	146	146	1.784500002861023	25.0	93.75	0.04
1	147	147	2.048445224761963	12.5	75.0	0.04
1	148	148	1.5944054126739502	37.5	100.0	0.04
1	149	149	2.3729093074798584	0.0	25.0	0.04
1	150	150	2.221893548965454	6.25	75.0	0.04
1	151	151	2.132078170776367	12.5	43.75	0.04
1	152	152	1.8685144186019897	12.5	100.0	0.04
1	153	153	2.002756118774414	0.0	62.5	0.04
1	154	154	1.842118501663208	12.5	100.0	0.04
1	155	155	1.6721636056900024	31.25	87.5	0.04
1	156	156	1.9700934886932373	0.0	87.5	0.04
1	157	157	1.960925579071045	37.5	81.25	0.04
1	158	158	1.6815383434295654	50.0	93.75	0.04
1	159	159	1.938132405281067	12.5	87.5	0.04
1	160	160	1.878127098083496	12.5	75.0	0.04
1	161	161	1.8121616840362549	12.5	87.5	0.04
1	162	162	1.506451964378357	50.0	87.5	0.04
1	163	163	1.8086509704589844	18.75	87.5	0.04
1	164	164	2.159245014190674	0.0	62.5	0.04
1	165	165	2.0837669372558594	12.5	75.0	0.04
